date,open,high,low,close,index_value,daily_return,cumulative_return
2024-12-17,1685.88,1745.96,1662.98,1687.88,1687.88,-0.69,68.79
2024-12-18,1686.33,1769.25,1656.67,1750.34,1750.34,3.7,75.03
2024-12-19,1727.93,1834.19,1710.03,1801.82,1801.82,2.94,80.18
2024-12-20,1793.21,1885.71,1783.7,1857.13,1857.13,3.07,85.71
2024-12-23,1859.44,1926.98,1794.23,1824.72,1824.72,-1.75,82.47
2024-12-24,1837.84,1864.73,1760.88,1848.28,1848.28,1.29,84.83
2024-12-25,1848.1,1914.84,1817.26,1871.02,1871.02,1.23,87.1
2024-12-26,1862.47,1922.17,1829.51,1901.94,1901.94,1.65,90.19
2024-12-27,1901.01,1935.93,1856.04,1867.55,1867.55,-1.81,86.76
2024-12-30,1868.08,1927.43,1823.14,1867.61,1867.61,0.0,86.76
2024-12-31,1867.96,1877.19,1788.78,1790.3,1790.3,-4.14,79.03
2025-01-02,1780.11,1805.77,1704.03,1733.23,1733.23,-3.19,73.32
2025-01-03,1730.26,1753.39,1678.17,1692.73,1692.73,-2.34,69.27
2025-01-06,1703.04,1750.3,1668.27,1715.46,1715.46,1.34,71.55
2025-01-07,1712.95,1841.91,1696.47,1837.7,1837.7,7.13,83.77
2025-01-08,1802.75,1867.84,1774.48,1846.58,1846.58,0.48,84.66
2025-01-09,1837.3,1877.25,1804.99,1834.83,1834.83,-0.64,83.48
2025-01-10,1833.64,1913.18,1800.42,1812.46,1812.46,-1.22,81.25
2025-01-13,1774.18,1812.67,1718.55,1788.36,1788.36,-1.33,78.84
2025-01-14,1791.61,1840.88,1728.06,1813.22,1813.22,1.39,81.32
2025-01-15,1786.7,1860.71,1756.96,1809.62,1809.62,-0.2,80.96
2025-01-16,1807.11,1855.45,1657.23,1713.67,1713.67,-5.3,71.37
2025-01-17,1695.31,1764.17,1675.11,1727.59,1727.59,0.81,72.76
2025-01-20,1734.5,1805.22,1711.64,1773.83,1773.83,2.68,77.38
2025-01-21,1792.51,1827.17,1753.74,1792.94,1792.94,1.08,79.29
2025-01-22,1782.86,1867.13,1767.57,1833.0,1833.0,2.23,83.3
2025-01-23,1851.08,1883.42,1780.58,1788.92,1788.92,-2.4,78.89
2025-01-24,1793.75,1836.95,1761.7,1797.67,1797.67,0.49,79.77
2025-01-27,1747.79,1776.52,1671.57,1704.31,1704.31,-5.19,70.43
2025-02-05,1730.4,1775.94,1641.29,1688.42,1688.42,-0.93,68.84
2025-02-06,1690.37,1755.34,1661.22,1716.66,1716.66,1.67,71.67
2025-02-07,1714.87,1815.24,1696.27,1769.2,1769.2,3.06,76.92
2025-02-10,1791.67,1864.64,1765.25,1837.16,1837.16,3.84,83.72
2025-02-11,1836.23,1899.62,1799.92,1843.31,1843.31,0.33,84.33
2025-02-12,1839.21,1879.96,1807.94,1843.3,1843.3,-0.0,84.33
2025-02-13,1843.07,1860.98,1771.46,1780.64,1780.64,-3.4,78.06
2025-02-14,1780.34,1838.95,1730.37,1785.91,1785.91,0.3,78.59
2025-02-17,1816.69,1901.28,1793.57,1878.33,1878.33,5.17,87.83
2025-02-18,1867.46,1893.29,1799.05,1812.54,1812.54,-3.5,81.25
2025-02-19,1815.2,1856.47,1786.83,1833.59,1833.59,1.16,83.36
2025-02-20,1838.1,1864.39,1792.22,1824.46,1824.46,-0.5,82.45
2025-02-21,1866.97,2045.5,1842.14,2021.77,2021.77,10.81,102.18
2025-02-24,2029.43,2120.06,1995.33,2075.44,2075.44,2.65,107.54
2025-02-25,2045.56,2140.43,1999.54,2067.66,2067.66,-0.37,106.77
2025-02-26,2062.59,2135.22,2006.22,2104.63,2104.63,1.79,110.46
2025-02-27,2106.75,2156.21,2028.92,2099.92,2099.92,-0.22,109.99
2025-02-28,2058.21,2103.71,1943.37,1974.04,1974.04,-5.99,97.4
2025-03-03,1966.43,1996.01,1867.48,1892.08,1892.08,-4.15,89.21
2025-03-04,1853.8,1950.96,1810.58,1912.17,1912.17,1.06,91.22
2025-03-05,1914.27,1965.49,1888.97,1939.37,1939.37,1.42,93.94
2025-03-06,1970.57,2055.75,1955.55,2025.53,2025.53,4.44,102.55
2025-03-07,2001.02,2051.69,1957.96,1999.48,1999.48,-1.29,99.95
2025-03-10,1994.3,2061.93,1962.01,2035.8,2035.8,1.82,103.58
2025-03-11,1983.17,2050.84,1958.99,2031.53,2031.53,-0.21,103.15
2025-03-12,2043.48,2098.17,2009.21,2017.78,2017.78,-0.68,101.78
2025-03-13,2031.49,2049.75,1936.93,1949.92,1949.92,-3.36,94.99
2025-03-14,1955.98,2035.87,1947.65,2006.37,2006.37,2.89,100.64
2025-03-17,2005.43,2029.17,1961.21,2007.61,2007.61,0.06,100.76
2025-03-18,2004.64,2061.44,1979.46,2015.52,2015.52,0.39,101.55
2025-03-19,1994.64,2013.92,1925.35,1938.04,1938.04,-3.84,93.8
2025-03-20,1930.16,1955.31,1902.98,1918.93,1918.93,-0.99,91.89
